id,dish_id,dish,rating,title,content,author,date,helpful_votes,verified_cook
r038,curry,토마토 두 알로 끓인 카레,5,고기 없이도 됩니다,채소만 넣고 했는데 토마토 덕에 감칠맛이 충분합니다. 비건으로도 좋아요.,기름없이바삭,2026-08-21,17,true
r039,focaccia,반죽 안 치는 포카치아,5,손에 붙는 게 정상이라니,밀가루 더 넣을 뻔했습니다. 이 말 한 줄에 살았어요.,디저트요정,2026-08-16,48,true
r040,focaccia,반죽 안 치는 포카치아,4,실온 2시간도 됩니다,하룻밤이 부담스러워서 2시간으로 했는데 충분히 맛있었습니다. 향은 확실히 덜해요.,자취9년차,2026-08-16,29,true
r041,focaccia,반죽 안 치는 포카치아,5,접기 네 번이 치대기를 대신한다,치댄 적이 없는데 반죽이 탄력이 생깁니다. 신기했어요.,오븐없이굽기,2026-08-17,34,true
r042,focaccia,반죽 안 치는 포카치아,3,오븐 220도가 안 되는 집도 있음,200도가 최대라 5분 더 구웠습니다. 색은 나왔는데 겉이 덜 바삭했어요.,야식대장,2026-08-17,12,true
r043,focaccia,반죽 안 치는 포카치아,4,구멍 깊게 누르세요,살살 눌렀더니 올리브유가 안 고여서 밋밋했습니다. 바닥까지 푹 누르세요.,십오분한끼,2026-08-18,21,true
r044,focaccia,반죽 안 치는 포카치아,5,굵은소금이 다 했다,위에 뿌리는 소금 때문에 빵집 맛이 납니다. 아끼지 마세요.,불꽃요리사,2026-08-19,15,true
r045,focaccia,반죽 안 치는 포카치아,2,15시간은 계획이 필요함,전날 밤에 시작해야 다음 날 먹습니다. 급하게 만들 빵은 아닙니다.,냉털장인,2026-08-20,10,true
r046,tofu,에어프라이어 두부강정,5,전자레인지 2분 방법 좋다,20분 누르는 게 귀찮았는데 전자레인지 돌리니 물이 진짜 많이 나옵니다.,마라중독자,2026-08-14,39,true
r047,tofu,에어프라이어 두부강정,4,양념 미리 바르면 탑니다,구운 뒤에 버무리라는 말 무시했다가 설탕이 타서 썼습니다.,야식대장,2026-08-14,27,true
r048,tofu,에어프라이어 두부강정,5,튀기지 않아도 바삭하다,에어프라이어만으로 이 식감이 나올 줄 몰랐습니다. 기름 냄새가 안 나서 좋아요.,기름없이바삭,2026-08-15,43,true
r049,tofu,에어프라이어 두부강정,3,전분 두껍게 묻히면 떡됨,많이 묻히면 좋을 줄 알았는데 겉이 떡처럼 됐습니다. 체에 쳐서 얇게가 맞습니다.,자취9년차,2026-08-15,18,true
r050,tofu,에어프라이어 두부강정,4,비건으로도 됩니다,물엿 대신 조청 쓰고 나머지 그대로 했는데 잘 나왔습니다.,오븐없이굽기,2026-08-16,14,true
r051,tofu,에어프라이어 두부강정,5,물기 빼는 20분이 전부,급해서 10분만 눌렀을 때는 눅눅했습니다. 20분 채우세요.,십오분한끼,2026-08-17,22,true
r052,brand-gochujang,태양초 고추장으로 비비는 나물 비빔밥,5,밥 식히는 게 핵심,밥을 한 김 식히라는 말대로 했더니 양념이 밥알에 딱 붙습니다. 여태 왜 겉돌았는지 알겠어요.,냉털장인,2026-08-12,36,true
r053,brand-gochujang,태양초 고추장으로 비비는 나물 비빔밥,4,매실청으로 바꿔도 좋아요,설탕 대신 매실청 넣으니 단맛이 덜 튀고 부드럽습니다.,자취9년차,2026-08-13,24,true
r054,brand-gochujang,태양초 고추장으로 비비는 나물 비빔밥,5,양념장은 미리 만들어 두세요,양념장만 미리 만들어 두니 나물만 있으면 10분이면 한 그릇 나옵니다.,십오분한끼,2026-08-14,19,true
r055,brand-gochujang,태양초 고추장으로 비비는 나물 비빔밥,3,고추장 브랜드마다 다릅니다,쓰던 고추장이 달아서 설탕을 아예 뺐습니다. 비율은 기준으로만 쓰세요.,불꽃요리사,2026-08-15,28,true
r056,brand-gochujang,태양초 고추장으로 비비는 나물 비빔밥,4,나물 두 가지로도 됩니다,시금치랑 콩나물만 넣고 했는데도 충분했습니다. 나물 세 가지면 넉넉해요.,기름없이바삭,2026-08-16,13,true
r057,brand-gochujang,태양초 고추장으로 비비는 나물 비빔밥,2,밥이 질면 망합니다,밥을 질게 지었다가 죽처럼 됐습니다. 물 한 눈금 적게가 진짜 중요합니다.,야식대장,2026-08-17,16,true
r058,brand-oil,들기름 한 큰술로 끝내는 막국수,5,들기름 냉장 보관하세요,이 말 듣고 바꿨더니 향이 완전히 다릅니다. 실온에 뒀던 게 쿰쿰했던 거였어요.,십오분한끼,2026-08-10,41,true
r059,brand-oil,들기름 한 큰술로 끝내는 막국수,4,메밀면은 시간 넘기면 끊어짐,1분 더 삶았다가 젓가락에 안 걸렸습니다. 봉지 시간 지키세요.,냉털장인,2026-08-11,23,true
r060,brand-oil,들기름 한 큰술로 끝내는 막국수,5,양념 적을수록 맛있다,간장 더 넣고 싶은 걸 참았더니 메밀 향이 살아납니다.,자취9년차,2026-08-12,30,true
r061,brand-oil,들기름 한 큰술로 끝내는 막국수,3,수란이 제일 어렵다,면보다 수란에서 시간이 더 걸렸습니다. 반숙 계란으로 대체해도 될 듯해요.,오븐없이굽기,2026-08-13,17,true
r062,brand-oil,들기름 한 큰술로 끝내는 막국수,4,여름에 딱,더울 때 얼음물에 헹궈 먹으니 시원합니다. 10분이면 되고요.,마라중독자,2026-08-14,12,true
r063,brand-oil,들기름 한 큰술로 끝내는 막국수,5,김가루 넉넉히,김가루 조금 넣었을 때보다 한 줌 넣었을 때가 훨씬 낫습니다.,야식대장,2026-08-15,9,true
r064,brand-garlic,다진마늘 한 통으로 굽는 마늘빵,5,버터 냉장 30분 차이 큽니다,급할 때랑 비교해봤는데 향이 배는 정도가 다릅니다. 30분 기다리세요.,디저트요정,2026-08-08,32,true
r065,brand-garlic,다진마늘 한 통으로 굽는 마늘빵,5,에어프라이어 180도 8분,오븐 없어서 에어프라이어로 했는데 똑같이 됐습니다.,오븐없이굽기,2026-08-09,45,true
r066,brand-garlic,다진마늘 한 통으로 굽는 마늘빵,4,200도 넘기면 마늘이 탑니다,빨리 구우려고 220도로 했다가 표면 마늘이 까맣게 됐습니다.,자취9년차,2026-08-10,26,true
r067,brand-garlic,다진마늘 한 통으로 굽는 마늘빵,3,마늘 3큰술은 센 편,마늘 향이 너무 강해서 다음엔 2큰술로 줄이려 합니다.,기름없이바삭,2026-08-11,14,true
r068,brand-garlic,다진마늘 한 통으로 굽는 마늘빵,5,마지막 2분 220도,이거 하니까 겉만 바삭하고 속은 촉촉합니다. 순서가 좋아요.,십오분한끼,2026-08-12,21,true
r069,brand-garlic,다진마늘 한 통으로 굽는 마늘빵,4,설탕 1작은술 꼭 넣으세요,빼고 만들었더니 밋밋했습니다. 단맛이 아니라 균형 맞추는 용도네요.,불꽃요리사,2026-08-13,18,true
r070,brand-sugar,하얀설탕으로 굽는 홈메이드 약과,5,낮은 온도에서 시작,급하게 160도부터 넣었다가 속이 하얗게 남았습니다. 100도부터 천천히가 맞아요.,불꽃요리사,2026-08-05,38,true
r071,brand-sugar,하얀설탕으로 굽는 홈메이드 약과,4,치대면 딱딱해집니다,손으로 뭉치기만 하라는 게 이 뜻이었네요. 처음엔 반죽처럼 치댔다가 실패했습니다.,디저트요정,2026-08-06,29,true
r072,brand-sugar,하얀설탕으로 굽는 홈메이드 약과,5,하룻밤 재우기 꼭 하세요,바로 먹었을 땐 겉만 달았는데 재우니 속까지 뱄습니다.,자취9년차,2026-08-07,25,true
r073,brand-sugar,하얀설탕으로 굽는 홈메이드 약과,3,기름 온도 재는 게 어렵다,온도계가 없으니 100도를 못 맞추겠습니다. 반죽 조각 넣어보는 걸로 감 잡았어요.,야식대장,2026-08-08,20,true
r074,brand-sugar,하얀설탕으로 굽는 홈메이드 약과,4,꼬치로 구멍 꼭 뚫으세요,안 뚫었더니 가운데가 부풀어서 모양이 망가졌습니다.,냉털장인,2026-08-09,16,true
r075,brand-sugar,하얀설탕으로 굽는 홈메이드 약과,5,명절에 만들어 갔더니 인기,사 먹는 것보다 덜 달아서 어른들이 좋아하셨습니다.,오븐없이굽기,2026-08-10,22,true
r076,malatanghulu,마라탕후루 한 상 차리기,5,시럽 젓지 말라는 게 진짜,알면서도 손이 갔습니다. 뿌옇게 굳었어요. 두 번째는 성공했습니다.,야식대장,2026-08-21,58,true
r077,malatanghulu,마라탕후루 한 상 차리기,5,과일 물기 완전히 닦으세요,안 닦으면 시럽이 아예 안 붙습니다. 이게 제일 중요합니다.,기름없이바삭,2026-08-21,47,true
r078,malatanghulu,마라탕후루 한 상 차리기,4,분모자 20분에 탕후루 만들면 딱,시간이 정확히 맞아떨어집니다. 둘이 동시에 되네요.,십오분한끼,2026-08-22,31,true
r079,malatanghulu,마라탕후루 한 상 차리기,5,마라 소스는 기름에 먼저,물에 바로 풀었을 때랑 향이 다릅니다. 1분만 볶으세요.,마라중독자,2026-08-22,40,true
r080,malatanghulu,마라탕후루 한 상 차리기,3,시럽 150도 넘기면 씁니다,색이 진해질 때까지 뒀더니 탄맛이 났습니다. 딱 소리 나면 바로 끄세요.,냉털장인,2026-08-22,24,true
r081,malatanghulu,마라탕후루 한 상 차리기,4,청경채는 마지막에,처음부터 넣었더니 다 물러졌습니다. 단단한 것부터 넣으세요.,자취9년차,2026-08-22,19,true
r082,malatanghulu,마라탕후루 한 상 차리기,5,매운 거 먹고 단 거 조합 최고,이 순서로 먹으니까 진짜 계속 들어갑니다. 야식으로 위험해요.,디저트요정,2026-08-22,26,true
r083,dubai,두바이 초콜릿 딸기컵,5,카다이프 진한 갈색까지,덜 볶았다가 다음 날 눅눅해졌습니다. 인내심이 필요합니다.,마라중독자,2026-08-19,44,true
r084,dubai,두바이 초콜릿 딸기컵,5,컵으로 하니까 쉽다,바 만들려다 포기했던 사람인데 컵은 한 번에 됐습니다.,자취9년차,2026-08-19,36,true
r085,dubai,두바이 초콜릿 딸기컵,4,피스타치오 스프레드가 비싸다,재료비가 좀 나갑니다. 맛은 확실히 파는 것 같아요.,십오분한끼,2026-08-20,28,true
r086,dubai,두바이 초콜릿 딸기컵,3,카다이프 구하기가 어려움,동네 마트엔 없어서 인터넷으로 샀습니다. 미리 주문하세요.,야식대장,2026-08-20,21,false
r087,dubai,두바이 초콜릿 딸기컵,5,소금 한 꼬집이 살린다,빼고 만들었을 땐 그냥 단맛이었는데 넣으니 맛이 잡힙니다.,디저트요정,2026-08-21,30,true
r088,dubai,두바이 초콜릿 딸기컵,4,딸기는 물기 닦고 올리세요,그냥 올렸더니 초콜릿이 흘렀습니다.,냉털장인,2026-08-21,15,true
r089,rose,우유로 만드는 로제 떡볶이,5,우유는 나중에,처음부터 넣었다가 알갱이 생겼습니다. 떡 익힌 뒤에 넣으세요.,냉털장인,2026-08-17,42,true
r090,rose,우유로 만드는 로제 떡볶이,5,버터 한 조각이 다 했다,생크림 없이도 이 질감이 나올 줄 몰랐습니다.,기름없이바삭,2026-08-18,35,true
r091,rose,우유로 만드는 로제 떡볶이,4,고추장 반으로 줄이는 게 맞다,평소 양대로 넣었다가 텁텁했습니다. 로제는 색만 있으면 되네요.,야식대장,2026-08-18,27,true
r092,rose,우유로 만드는 로제 떡볶이,3,밀떡이 아니면 국물이 안 걸쭉함,쌀떡으로 했더니 전분이 덜 나와서 묽었습니다.,자취9년차,2026-08-19,23,true
r093,rose,우유로 만드는 로제 떡볶이,5,물 100ml만 넣는 게 포인트,물 많이 넣으면 우유 넣어도 안 걸쭉해집니다. 적게 시작하세요.,십오분한끼,2026-08-20,31,true
r094,rose,우유로 만드는 로제 떡볶이,4,10분이면 끝납니다,떡 불리는 시간 빼면 진짜 금방입니다. 야식으로 자주 합니다.,마라중독자,2026-08-21,14,true
r095,croffle,냉동 생지로 굽는 크로플,5,식힘망 꼭 쓰세요,접시에 바로 올렸더니 밑면이 눅눅해졌습니다. 이거 하나로 달라집니다.,디저트요정,2026-08-15,39,true
r096,croffle,냉동 생지로 굽는 크로플,5,종이호일 깔면 설거지가 없다,설탕이 눌어붙어서 고생했는데 종이호일 한 장으로 해결됐습니다.,야식대장,2026-08-15,33,true
r097,croffle,냉동 생지로 굽는 크로플,4,생지 반쯤 녹이는 게 어렵다,완전히 녹였더니 층이 무너져서 그냥 빵이 됐습니다. 10분이 딱입니다.,자취9년차,2026-08-16,25,true
r098,croffle,냉동 생지로 굽는 크로플,3,와플기 예열을 충분히,덜 달군 상태에서 눌렀더니 겉이 안 바삭했습니다.,냉털장인,2026-08-17,18,true
r099,croffle,냉동 생지로 굽는 크로플,5,설탕 묻히면 캐러멜처럼,이 한 단계로 카페에서 파는 맛이 납니다.,십오분한끼,2026-08-18,29,true
r100,croffle,냉동 생지로 굽는 크로플,4,오레오 말고 다른 것도 됩니다,누텔라랑 바나나로 했는데 그것도 좋았어요.,오븐없이굽기,2026-08-19,12,true
r101,croffle,냉동 생지로 굽는 크로플,2,와플기가 없으면 못 만든다,프라이팬으로 눌러봤는데 모양이 안 나옵니다. 기계가 필요합니다.,기름없이바삭,2026-08-20,11,false
